input_id	dealiased_id	standard_id	short_id
doi:10.1371/journal.pcbi.1009926	doi:10.1371/journal.pcbi.1009926	doi:10.1371/journal.pcbi.1009926	1CdDn310M
doi:10.1093/bioinformatics/btaa150	doi:10.1093/bioinformatics/btaa150	doi:10.1093/bioinformatics/btaa150	bOvwnoRq
doi:10.1200/JCO.2008.18.1370	doi:10.1200/JCO.2008.18.1370	doi:10.1200/jco.2008.18.1370	lnK82Ey6
doi:10/bp4rtw	doi:10/bp4rtw	doi:10.1016/s0960-9776(09)70290-5	OW5P00JC
url:https://jmlr.org/papers/v12/pedregosa11a.html	url:https://jmlr.org/papers/v12/pedregosa11a.html	url:https://jmlr.org/papers/v12/pedregosa11a.html	43wsMmMv
url:https://www.jmlr.org/papers/v9/fan08a.html	url:https://www.jmlr.org/papers/v9/fan08a.html	url:https://www.jmlr.org/papers/v9/fan08a.html	Mm8xIDqq
online-learning	online-learning	online-learning	x24AA6cY
doi:10.1126/science.1235122	doi:10.1126/science.1235122	doi:10.1126/science.1235122	809OyWlC
doi:10.1016/j.cels.2018.03.002	doi:10.1016/j.cels.2018.03.002	doi:10.1016/j.cels.2018.03.002	cDnF3a5Q
doi:10.1186/gb-2011-12-4-r41	doi:10.1186/gb-2011-12-4-r41	doi:10.1186/gb-2011-12-4-r41	rDV1hhfF
doi:10.1186/s13059-022-02705-y	doi:10.1186/s13059-022-02705-y	doi:10.1186/s13059-022-02705-y	cAxtCrBP
doi:10.1111/j.2517-6161.1996.tb02080.x	doi:10.1111/j.2517-6161.1996.tb02080.x	doi:10.1111/j.2517-6161.1996.tb02080.x	kX2zf6UE
doi:10.1016/j.celrep.2018.03.046	doi:10.1016/j.celrep.2018.03.046	doi:10.1016/j.celrep.2018.03.046	17XHtmqPY
arxiv:2108.04552	arxiv:2108.04552	arxiv:2108.04552	kwgYU3iP
arxiv:2003.06152	arxiv:2003.06152	arxiv:2003.06152	DIONdBGr
url:http://proceedings.mlr.press/v134/zou21a.html	url:http://proceedings.mlr.press/v134/zou21a.html	url:http://proceedings.mlr.press/v134/zou21a.html	kajx4KkT
doi:10.1145/3446776	doi:10.1145/3446776	doi:10.1145/3446776	1HdGWY10w
doi:10.1073/pnas.1907378117	doi:10.1073/pnas.1907378117	doi:10.1073/pnas.1907378117	jhZXoLtp
arxiv:1611.03530	arxiv:1611.03530	arxiv:1611.03530	1Cb94HrPD
doi:10.18637/jss.v033.i01	doi:10.18637/jss.v033.i01	doi:10.18637/jss.v033.i01	10aVUDFmA
doi:10.1101/2023.04.11.536431	doi:10.1101/2023.04.11.536431	doi:10.1101/2023.04.11.536431	lhYg2Yc3
doi:10.1101/2020.02.21.959627	doi:10.1101/2020.02.21.959627	doi:10.1101/2020.02.21.959627	1CcaMqQZg
doi:10.1038/ng.2764	doi:10.1038/ng.2764	doi:10.1038/ng.2764	AK17eOgD
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
doi:10.1016/j.cell.2018.03.035	doi:10.1016/j.cell.2018.03.035	doi:10.1016/j.cell.2018.03.035	11ZPgRuLk
doi:10.7554/eLife.39217	doi:10.7554/eLife.39217	doi:10.7554/elife.39217	1CHUpIalb
doi:10.1038/ncomms12096	doi:10.1038/ncomms12096	doi:10.1038/ncomms12096	Lm19TMrZ
doi:10.1073/pnas.1616440113	doi:10.1073/pnas.1616440113	doi:10.1073/pnas.1616440113	MnWpJEWE
doi:10.1038/s41467-019-11284-9	doi:10.1038/s41467-019-11284-9	doi:10.1038/s41467-019-11284-9	YKm7IBTV
doi:10.1371/journal.pcbi.1006658	doi:10.1371/journal.pcbi.1006658	doi:10.1371/journal.pcbi.1006658	17HuO3ZJW
doi:10.1158/1078-0432.CCR-13-1943	doi:10.1158/1078-0432.CCR-13-1943	doi:10.1158/1078-0432.ccr-13-1943	zPJFCX9h
doi:10.1093/bib/bbaa258	doi:10.1093/bib/bbaa258	doi:10.1093/bib/bbaa258	Z5JvAfru
doi:10.1016/j.celrep.2018.03.076	doi:10.1016/j.celrep.2018.03.076	doi:10.1016/j.celrep.2018.03.076	X6oQhIf8
doi:10.1371/journal.pone.0241514	doi:10.1371/journal.pone.0241514	doi:10.1371/journal.pone.0241514	MUt3ESlf
doi:10.1186/s13059-020-02021-3	doi:10.1186/s13059-020-02021-3	doi:10.1186/s13059-020-02021-3	NsW0qxZF
doi:10.1101/2020.06.02.128850	doi:10.1101/2020.06.02.128850	doi:10.1101/2020.06.02.128850	ekDcxjcr
doi:10.1142/9789811215636_0031	doi:10.1142/9789811215636_0031	doi:10.1142/9789811215636_0031	odNCMbto
doi:10.1101/2020.05.07.083386	doi:10.1101/2020.05.07.083386	doi:10.1101/2020.05.07.083386	pLo10xih
doi:10.1038/nrg.2017.96	doi:10.1038/nrg.2017.96	doi:10.1038/nrg.2017.96	1z8H2EME
doi:10.1016/j.ccr.2010.03.017	doi:10.1016/j.ccr.2010.03.017	doi:10.1016/j.ccr.2010.03.017	1Cxnszz2L
doi:10.1093/jnci/djq497	doi:10.1093/jnci/djq497	doi:10.1093/jnci/djq497	WN82rY7P
doi:10.1056/NEJMoa0808710	doi:10.1056/NEJMoa0808710	doi:10.1056/nejmoa0808710	Sp8RO1w7
doi:10.1038/nature10860	doi:10.1038/nature10860	doi:10.1038/nature10860	FYj8JHBX
doi:10.1016/j.tig.2014.07.005	doi:10.1016/j.tig.2014.07.005	doi:10.1016/j.tig.2014.07.005	19sDhpROP
doi:10.1101/cshperspect.a026468	doi:10.1101/cshperspect.a026468	doi:10.1101/cshperspect.a026468	rNm0rAz7
doi:10.1038/nrg3729	doi:10.1038/nrg3729	doi:10.1038/nrg3729	18LSSJo3W
doi:10.1016/j.cell.2019.12.023	doi:10.1016/j.cell.2019.12.023	doi:10.1016/j.cell.2019.12.023	pWXLXywn
doi:10.1038/s41586-020-1943-3	doi:10.1038/s41586-020-1943-3	doi:10.1038/s41586-020-1943-3	11yRODwNY
doi:10.1371/journal.pcbi.1005840	doi:10.1371/journal.pcbi.1005840	doi:10.1371/journal.pcbi.1005840	UTtkLysq
doi:10.1186/s12920-018-0425-z	doi:10.1186/s12920-018-0425-z	doi:10.1186/s12920-018-0425-z	YBXY18s4
doi:10.1186/s13073-018-0591-9	doi:10.1186/s13073-018-0591-9	doi:10.1186/s13073-018-0591-9	pRTkOXGI
doi:10.1093/bioinformatics/btr019	doi:10.1093/bioinformatics/btr019	doi:10.1093/bioinformatics/btr019	ZuUqcptb
doi:10.1093/bib/bbw037	doi:10.1093/bib/bbw037	doi:10.1093/bib/bbw037	lQ8oalgu
doi:10.1093/bioinformatics/btq182	doi:10.1093/bioinformatics/btq182	doi:10.1093/bioinformatics/btq182	StwDSCo7
doi:10.1038/ncomms9554	doi:10.1038/ncomms9554	doi:10.1038/ncomms9554	1BMNB7BTo
url:https://jmlr.csail.mit.edu/papers/v12/pedregosa11a.html	url:https://jmlr.csail.mit.edu/papers/v12/pedregosa11a.html	url:https://jmlr.csail.mit.edu/papers/v12/pedregosa11a.html	lF0Fr9LL
doi:10.1093/bioinformatics/bts680	doi:10.1093/bioinformatics/bts680	doi:10.1093/bioinformatics/bts680	Zg2jmD6p
doi:10.1016/j.cell.2018.02.060	doi:10.1016/j.cell.2018.02.060	doi:10.1016/j.cell.2018.02.060	A3VeCeaB
doi:10.1038/s41568-018-0060-1	doi:10.1038/s41568-018-0060-1	doi:10.1038/s41568-018-0060-1	DxovERyv
doi:10.1111/j.1467-9868.2005.00503.x	doi:10.1111/j.1467-9868.2005.00503.x	doi:10.1111/j.1467-9868.2005.00503.x	JZNkB8d7
doi:10.1016/j.patrec.2005.10.010	doi:10.1016/j.patrec.2005.10.010	doi:10.1016/j.patrec.2005.10.010	WTSzUd5Y
doi:10.1145/65943.65945	doi:10.1145/65943.65945	doi:10.1145/65943.65945	pazxvNcz
doi:10.1371/journal.pone.0118432	doi:10.1371/journal.pone.0118432	doi:10.1371/journal.pone.0118432	LB4mDas6
arxiv:2006.11278	arxiv:2006.11278	arxiv:2006.11278	lWf6zHNO
doi:10.1101/2021.06.01.446243	doi:10.1101/2021.06.01.446243	doi:10.1101/2021.06.01.446243	CZHe0A4l
url:https://jmlr.org/papers/v21/20-729.html	url:https://jmlr.org/papers/v21/20-729.html	url:https://jmlr.org/papers/v21/20-729.html	wiw7Q7M7
pubmed:8668867	pubmed:8668867	pubmed:8668867	NrTv8Fyq
arxiv:1412.6980	arxiv:1412.6980	arxiv:1412.6980	c6d3lKFX
doi:10.1038/ng.3457	doi:10.1038/ng.3457	doi:10.1038/ng.3457	KGJwKXkD
doi:10.1038/sj.onc.1207361	doi:10.1038/sj.onc.1207361	doi:10.1038/sj.onc.1207361	uBEARk2
doi:10.1016/j.ccell.2019.09.001	doi:10.1016/j.ccell.2019.09.001	doi:10.1016/j.ccell.2019.09.001	1c8GokzT
doi:10.1007/s00018-017-2517-x	doi:10.1007/s00018-017-2517-x	doi:10.1007/s00018-017-2517-x	fdVKgtEF
doi:10.1038/nmeth.2650	doi:10.1038/nmeth.2650	doi:10.1038/nmeth.2650	rBwmNJtL
doi:10.1038/s41586-019-1913-9	doi:10.1038/s41586-019-1913-9	doi:10.1038/s41586-019-1913-9	23jjG6I6
doi:10.1158/0008-5472.CAN-21-0688	doi:10.1158/0008-5472.CAN-21-0688	doi:10.1158/0008-5472.can-21-0688	HfPt51y9
doi:10.1186/s12859-020-3443-8	doi:10.1186/s12859-020-3443-8	doi:10.1186/s12859-020-3443-8	wOjMFUXP
pubmed:34417465	pubmed:34417465	pubmed:34417465	dSUkNdCN
doi:10.1016/j.ccell.2020.09.014	doi:10.1016/j.ccell.2020.09.014	doi:10.1016/j.ccell.2020.09.014	1HfJnooMx
doi:10.1101/2021.05.25.445604	doi:10.1101/2021.05.25.445604	doi:10.1101/2021.05.25.445604	7kIfUrlF
doi:10.1016/j.ajhg.2013.08.008	doi:10.1016/j.ajhg.2013.08.008	doi:10.1016/j.ajhg.2013.08.008	eoXXrVpl
doi:10.7717/peerj.5362	doi:10.7717/peerj.5362	doi:10.7717/peerj.5362	gROOu6O4
doi:10.1038/nrc3721	doi:10.1038/nrc3721	doi:10.1038/nrc3721	1AeRgHv3L
doi:10.1016/j.jbi.2015.05.019	doi:10.1016/j.jbi.2015.05.019	doi:10.1016/j.jbi.2015.05.019	tMmErZMX
doi:10.1186/s13040-018-0184-6	doi:10.1186/s13040-018-0184-6	doi:10.1186/s13040-018-0184-6	4X1N4DJa
doi:10.1093/bioinformatics/btz318	doi:10.1093/bioinformatics/btz318	doi:10.1093/bioinformatics/btz318	shldZigM
doi:10.1371/journal.pcbi.1008878	doi:10.1371/journal.pcbi.1008878	doi:10.1371/journal.pcbi.1008878	llajEDiU
doi:10.1098/rsif.2015.0571	doi:10.1098/rsif.2015.0571	doi:10.1098/rsif.2015.0571	gIhNaGUg
doi:10.1016/j.inffus.2018.09.012	doi:10.1016/j.inffus.2018.09.012	doi:10.1016/j.inffus.2018.09.012	NfKILi8i
doi:10.1182/bloodadvances.2019000303	doi:10.1182/bloodadvances.2019000303	doi:10.1182/bloodadvances.2019000303	1B2CloRMX
doi:10.1038/s41586-019-1186-3	doi:10.1038/s41586-019-1186-3	doi:10.1038/s41586-019-1186-3	kcdvZmNN
doi:10.1038/s41467-019-11415-2	doi:10.1038/s41467-019-11415-2	doi:10.1038/s41467-019-11415-2	2AuD4Mwu
doi:10.1126/scitranslmed.aaa1408	doi:10.1126/scitranslmed.aaa1408	doi:10.1126/scitranslmed.aaa1408	16yVVytBf
pancanatlas	pancanatlas	pancanatlas	KrfP0fMx
mut_sigs	mut_sigs	mut_sigs	pHDBQdQT
mpmp_zenodo	mpmp_zenodo	mpmp_zenodo	J4w4e1MM
mpmp_code	mpmp_code	mpmp_code	lVGBvUEc
manuscript_web	manuscript_web	manuscript_web	3yukLr06
manuscript_zenodo	manuscript_zenodo	manuscript_zenodo	30nThzUa
figshare_coefs	figshare_coefs	figshare_coefs	TIqbHsOH
figshare_params	figshare_params	figshare_params	EZnvMHZD
doi:10.1093/bioinformatics/btg062	doi:10.1093/bioinformatics/btg062	doi:10.1093/bioinformatics/btg062	pt72xvSB
doi:10.1186/s13059-019-1861-6	doi:10.1186/s13059-019-1861-6	doi:10.1186/s13059-019-1861-6	1Gjm0AvRK
doi:10.1016/j.ejca.2013.02.021	doi:10.1016/j.ejca.2013.02.021	doi:10.1016/j.ejca.2013.02.021	16Pv16qgL
doi:10.1056/NEJMoa060096	doi:10.1056/NEJMoa060096	doi:10.1056/nejmoa060096	1RajAavD
doi:10.1158/0008-5472.CAN-08-0436	doi:10.1158/0008-5472.CAN-08-0436	doi:10.1158/0008-5472.can-08-0436	dM8796ho
doi:10.1056/NEJMoa1602253	doi:10.1056/NEJMoa1602253	doi:10.1056/nejmoa1602253	OEMQX6hJ
doi:10.1586/erm.09.32	doi:10.1586/erm.09.32	doi:10.1586/erm.09.32	fdtdInsC
doi:10.1056/NEJMe068292	doi:10.1056/NEJMe068292	doi:10.1056/nejme068292	1HDl7WHTm
doi:10.1038/nrclinonc.2011.125	doi:10.1038/nrclinonc.2011.125	doi:10.1038/nrclinonc.2011.125	Yto9fv8i
doi:10/bhfhgd	doi:10/bhfhgd	doi:10.1002/(sici)1097-0258(20000229)19:4<453::aid-sim350>3.0.co;2-5	kAXq3qou
doi:10.4137/CIN.S408	doi:10.4137/CIN.S408	doi:10.4137/cin.s408	wnVDbuuP
doi:10.1371/journal.pcbi.1004961	doi:10.1371/journal.pcbi.1004961	doi:10.1371/journal.pcbi.1004961	HmaoBsQm
doi:10.1109/TAC.1974.1100705	doi:10.1109/TAC.1974.1100705	doi:10.1109/tac.1974.1100705	13HbWPwpj
doi:10.1214/aos/1176344136	doi:10.1214/aos/1176344136	doi:10.1214/aos/1176344136	PUJO2E4L
doi:10.1038/s43018-020-00169-2	doi:10.1038/s43018-020-00169-2	doi:10.1038/s43018-020-00169-2	ZJNDbtzm
doi:10.1038/s42256-021-00408-w	doi:10.1038/s42256-021-00408-w	doi:10.1038/s42256-021-00408-w	QWTf9qrW
doi:10.1073/pnas.2106682118	doi:10.1073/pnas.2106682118	doi:10.1073/pnas.2106682118	L3dpDrOG
doi:10.1101/2023.06.26.546586	doi:10.1101/2023.06.26.546586	doi:10.1101/2023.06.26.546586	gOHkic9g
doi:10.1371/journal.pcbi.1010984	doi:10.1371/journal.pcbi.1010984	doi:10.1371/journal.pcbi.1010984	b7RUXQvu
https://dl.acm.org/doi/10.5555/3104322.3104425	https://dl.acm.org/doi/10.5555/3104322.3104425	url:https://dl.acm.org/doi/10.5555/3104322.3104425	Xk9rmxAA
arxiv:1912.01703	arxiv:1912.01703	arxiv:1912.01703	iTP4h1rX
doi:10.1146/annurev-pathol-011110-130206	doi:10.1146/annurev-pathol-011110-130206	doi:10.1146/annurev-pathol-011110-130206	qtYNZ2Q2
doi:10.1002/cac2.12005	doi:10.1002/cac2.12005	doi:10.1002/cac2.12005	rzy1RWeA
doi:10.1093/noajnl/vdaa088	doi:10.1093/noajnl/vdaa088	doi:10.1093/noajnl/vdaa088	HQx0QuE4
doi:10.1038/s41525-022-00328-7	doi:10.1038/s41525-022-00328-7	doi:10.1038/s41525-022-00328-7	zbMcel6V
doi:10.1093/bioinformatics/btx624	doi:10.1093/bioinformatics/btx624	doi:10.1093/bioinformatics/btx624	TIQTmEOG
doi:10.1186/s13059-020-02100-5	doi:10.1186/s13059-020-02100-5	doi:10.1186/s13059-020-02100-5	YOm0bqVR
doi:10.1016/j.patter.2022.100565	doi:10.1016/j.patter.2022.100565	doi:10.1016/j.patter.2022.100565	Mflfx7GP
doi:10.1093/jnci/djt007	doi:10.1093/jnci/djt007	doi:10.1093/jnci/djt007	1HnyQJPcl
doi:10.1158/0008-5472.CAN-13-2971	doi:10.1158/0008-5472.CAN-13-2971	doi:10.1158/0008-5472.can-13-2971	vYqd0FZY
doi:10.1016/j.cell.2016.06.017	doi:10.1016/j.cell.2016.06.017	doi:10.1016/j.cell.2016.06.017	18vM3pLD6
doi:10.1186/s13059-020-02177-y	doi:10.1186/s13059-020-02177-y	doi:10.1186/s13059-020-02177-y	Inb9g7Za
doi:10.1038/s41576-021-00434-9	doi:10.1038/s41576-021-00434-9	doi:10.1038/s41576-021-00434-9	13prIHiSM
arxiv:2306.15794	arxiv:2306.15794	arxiv:2306.15794	NMsylj71
doi:10.1101/2023.04.30.538439	doi:10.1101/2023.04.30.538439	doi:10.1101/2023.04.30.538439	r5y0HbhJ
doi:10.1101/2023.05.29.542705	doi:10.1101/2023.05.29.542705	doi:10.1101/2023.05.29.542705	Uetau8wh
doi:10.1214/088342306000000060	doi:10.1214/088342306000000060	doi:10.1214/088342306000000060	cU8r76Rn
